UC,Unit type,HUD Metro Area,2007 FMR,2008 FMR,2009 FMR,2010 FMR,2011 FMR,2012 FMR,2013 FMR,2014 FMR,2015 FMR,2016 FMR,2017 FMR,2018 FMR,2019 FMR,2020 FMR
Berkeley,Efficiency,Oakland-Fremont,874,866,905,963,974,980,892,1035,1039,1380,1435,1540,1409,2197
Berkeley,1 br,Oakland-Fremont,1055,1046,1093,1162,1176,1183,1082,1255,1260,1663,1723,1855,1706,2720
Berkeley,2 br,Oakland-Fremont,1250,1239,1295,1377,1393,1402,1361,1578,1585,2103,2173,2329,2126,3339
Berkeley,3 br,Oakland-Fremont,1695,1680,1756,1867,1889,1901,1901,2204,2213,2932,3017,3219,2925,4365
Berkeley,4 br,Oakland-Fremont,2099,2080,2174,2312,2339,2354,2332,2704,2716,3268,3477,3946,3587,4657
Davis,Efficiency,Sacramento--Arden-Arcade--Roseville,715,708,737,749,757,736,717,717,676,707,720,826,924,1038
Davis,1 br,Sacramento--Arden-Arcade--Roseville,813,805,838,852,861,837,855,854,806,815,821,939,1051,1167
Davis,2 br,Sacramento--Arden-Arcade--Roseville,992,982,1022,1039,1050,1021,1073,1072,1012,1026,1036,1187,1324,1470
Davis,3 br,Sacramento--Arden-Arcade--Roseville,1431,1417,1475,1499,1515,1473,1581,1580,1491,1495,1508,1725,1915,2121
Davis,4 br,Sacramento--Arden-Arcade--Roseville,1641,1624,1690,1719,1737,1689,1900,1899,1792,1791,1825,2090,2324,2581
Irvine,Efficiency,Orange County / Santa Ana-Anaheim-Irvine,1103,1185,1147,1183,1175,1226,1126,1142,1117,1161,1257,1294,1415,1563
Irvine,1 br,Orange County / Santa Ana-Anaheim-Irvine,1238,1330,1296,1336,1327,1384,1294,1312,1283,1324,1436,1493,1632,1785
Irvine,2 br,Orange County / Santa Ana-Anaheim-Irvine,1485,1595,1546,1594,1584,1652,1621,1644,1608,1672,1813,1876,2037,2216
Irvine,3 br,Orange County / Santa Ana-Anaheim-Irvine,2125,2282,2188,2256,2241,2338,2268,2300,2250,2327,2531,2626,2862,3098
Irvine,4 br,Orange County / Santa Ana-Anaheim-Irvine,2441,2622,2518,2597,2580,2691,2525,2561,2505,2532,2760,3045,3304,3578
Los Angeles,Efficiency,Los Angeles-Long Beach,843,863,904,943,973,961,911,896,913,947,988,1067,1158,1279
Los Angeles,1 br,Los Angeles-Long Beach,1016,1041,1090,1137,1173,1159,1101,1083,1103,1154,1195,1284,1384,1517
Los Angeles,2 br,Los Angeles-Long Beach,1269,1300,1361,1420,1465,1447,1421,1398,1424,1490,1545,1663,1791,1956
Los Angeles,3 br,Los Angeles-Long Beach,1704,1746,1828,1907,1967,1943,1921,1890,1926,2009,2079,2231,2401,2614
Los Angeles,4 br,Los Angeles-Long Beach,2051,2101,2199,2295,2367,2338,2140,2106,2145,2227,2303,2467,2641,2857
Merced,Efficiency,Merced County,474,534,559,577,591,570,507,522,498,517,522,542,579,651
Merced,1 br,Merced County,541,609,637,658,674,649,587,604,577,601,602,623,680,782
Merced,2 br,Merced County,657,740,774,799,819,789,772,795,759,784,776,790,839,947
Merced,3 br,Merced County,937,1055,1104,1139,1168,1125,1138,1171,1118,1135,1125,1149,1213,1366
Merced,4 br,Merced County,1094,1232,1289,1330,1364,1314,1367,1408,1344,1369,1355,1368,1465,1652
Riverside,Efficiency,Riverside-San Bernardino-Ontario,765,896,867,854,882,886,763,766,788,798,800,768,826,875
Riverside,1 br,Riverside-San Bernardino-Ontario,835,979,954,940,970,974,879,882,908,945,957,926,986,1030
Riverside,2 br,Riverside-San Bernardino-Ontario,974,1142,1125,1108,1144,1149,1116,1120,1153,1187,1197,1156,1232,1289
Riverside,3 br,Riverside-San Bernardino-Ontario,1383,1622,1583,1559,1610,1617,1577,1582,1629,1672,1682,1618,1717,1789
Riverside,4 br,Riverside-San Bernardino-Ontario,1617,1896,1846,1818,1877,1886,1924,1930,1987,2056,2072,2004,2132,2216
San Diego,Efficiency,San Diego-Carlsbad,870,978,1024,945,1004,984,959,939,964,1040,1212,1240,1450,1481
San Diego,1 br,San Diego-Carlsbad,993,1117,1168,1082,1149,1126,1054,1032,1060,1153,1342,1380,1623,1651
San Diego,2 br,San Diego-Carlsbad,1205,1355,1418,1324,1406,1378,1382,1354,1390,1499,1741,1788,2110,2146
San Diego,3 br,San Diego-Carlsbad,1757,1976,2067,1883,1999,1960,2009,1969,2021,2167,2507,2570,3020,3050
San Diego,4 br,San Diego-Carlsbad,2118,2382,2493,2326,2470,2421,2448,2398,2462,2329,3068,3146,3706,3764
San Francisco,Efficiency,San Francisco,1008,1035,1078,1144,1191,1238,1093,1191,1256,1412,1915,2014,2069,2197
San Francisco,1 br,San Francisco,1239,1272,1325,1406,1465,1522,1423,1551,1635,1814,2411,2499,2561,2720
San Francisco,2 br,San Francisco,1551,1592,1658,1760,1833,1905,1795,1956,2062,2289,3018,3121,3170,3339
San Francisco,3 br,San Francisco,2071,2125,2213,2350,2447,2543,2438,2657,2801,2987,3927,4070,4153,4365
San Francisco,4 br,San Francisco,2188,2246,2339,2483,2586,2688,2948,3212,3386,3556,4829,4346,4392,4657
Santa Barbara,Efficiency,Santa Barbara-Santa Maria-Goleta/Santa Maria-Santa Barbara,856,1065,1007,1005,978,1073,1035,1042,1060,1065,1131,1393,1403,1502
Santa Barbara,1 br,Santa Barbara-Santa Maria-Goleta/Santa Maria-Santa Barbara,956,1189,1124,1122,1091,1198,1190,1197,1218,1226,1323,1636,1667,1752
Santa Barbara,2 br,Santa Barbara-Santa Maria-Goleta/Santa Maria-Santa Barbara,1073,1334,1262,1259,1225,1344,1426,1435,1460,1451,1555,1917,1951,2073
Santa Barbara,3 br,Santa Barbara-Santa Maria-Goleta/Santa Maria-Santa Barbara,1413,1757,1662,1658,1613,1770,1906,1918,1951,1995,2128,2603,2625,2766
Santa Barbara,4 br,Santa Barbara-Santa Maria-Goleta/Santa Maria-Santa Barbara,1613,2005,1897,1892,1841,2020,2206,2220,2259,2311,2483,3030,3040,3186
Santa Cruz,Efficiency,Santa Cruz-Watsonville,883,970,1034,1076,1125,978,970,976,1073,989,1160,1253,1567,1641
Santa Cruz,1 br,Santa Cruz-Watsonville,1042,1145,1220,1270,1327,1154,1173,1180,1298,1198,1375,1477,1844,1913
Santa Cruz,2 br,Santa Cruz-Watsonville,1359,1493,1590,1656,1730,1504,1587,1597,1756,1604,1828,1965,2439,2519
Santa Cruz,3 br,Santa Cruz-Watsonville,1956,2148,2288,2383,2489,2164,2045,2058,2263,2124,2425,2615,3241,3342
Santa Cruz,4 br,Santa Cruz-Watsonville,2015,2214,2358,2456,2566,2230,2282,2296,2525,2376,2723,2961,3701,3746
