UC,Utilities,Supplies and materials,Scholarships and fellowships,Salaries and wages,Employee benefits,Depreciation,Other
Berkeley,21442.00,45759.00,51807.00,371287.00,135029.00,64194.00,161150.00
Davis,14655.00,92383.00,78979.00,541514.00,215059.00,86905.00,181595.00
Irvine,41333.00,859050.00,35333.00,3440917.00,1385852.00,348868.00,1352184.00
Los Angeles,55719.00,823181.00,104115.00,2544136.00,1019506.00,308448.00,841692.00
Merced,19797.00,63398.00,60004.00,464124.00,173966.00,73860.00,145107.00
Riverside,5108.00,24256.00,15967.00,156556.00,61183.00,35985.00,94741.00
San Diego,61938.00,1058025.00,154293.00,3970361.00,1507061.00,407185.00,1310436.00
San Francisco,24556.00,388645.00,83433.00,1484536.00,582154.00,216748.00,502275.00
Santa Barbara,40277.00,548252.00,105905.00,2413501.00,1080124.00,238252.00,681553.00
Santa Cruz,39277.00,173936.00,160293.00,1294488.00,467949.00,235967.00,530517.00
