Year,Campus,Discipline,Net Stipend,Source
2007,Systemwide,Engineering & CS,15891,kt-scrape-excel
2007,Systemwide,Fine Arts,29666,kt-scrape-excel
2007,Systemwide,Health Sciences,20068,kt-scrape-excel
2007,Systemwide,Humanities,26235,kt-scrape-excel
2007,Systemwide,Life Sciences,24358,kt-scrape-excel
2007,Systemwide,Other,22923,kt-scrape-excel
2007,Systemwide,Physical Sciences,23658,kt-scrape-excel
2007,Systemwide,Professional,9019,kt-scrape-excel
2007,Systemwide,Social Sciences,24074,kt-scrape-excel
2007,Berkeley,Engineering & CS,20996,kt-scrape-excel
2007,Berkeley,Fine Arts,32247,kt-scrape-excel
2007,Berkeley,Health Sciences,22322,kt-scrape-excel
2007,Berkeley,Humanities,26122,kt-scrape-excel
2007,Berkeley,Life Sciences,28692,kt-scrape-excel
2007,Berkeley,Other,25557,kt-scrape-excel
2007,Berkeley,Physical Sciences,22698,kt-scrape-excel
2007,Berkeley,Social Sciences,29064,kt-scrape-excel
2007,Davis,Engineering & CS,17518,kt-scrape-excel
2007,Davis,Fine Arts,31749,kt-scrape-excel
2007,Davis,Health Sciences,11109,kt-scrape-excel
2007,Davis,Humanities,28679,kt-scrape-excel
2007,Davis,Life Sciences,26397,kt-scrape-excel
2007,Davis,Other,24589,kt-scrape-excel
2007,Davis,Physical Sciences,28403,kt-scrape-excel
2007,Davis,Professional,9019,kt-scrape-excel
2007,Davis,Social Sciences,23826,kt-scrape-excel
2007,Irvine,Engineering & CS,9643,kt-scrape-excel
2007,Irvine,Fine Arts,31491,kt-scrape-excel
2007,Irvine,Health Sciences,8356,kt-scrape-excel
2007,Irvine,Humanities,24071,kt-scrape-excel
2007,Irvine,Life Sciences,14660,kt-scrape-excel
2007,Irvine,Other,17198,kt-scrape-excel
2007,Irvine,Physical Sciences,15465,kt-scrape-excel
2007,Irvine,Social Sciences,16301,kt-scrape-excel
2007,Los Angeles,Engineering & CS,16754,kt-scrape-excel
2007,Los Angeles,Fine Arts,25977,kt-scrape-excel
2007,Los Angeles,Health Sciences,21884,kt-scrape-excel
2007,Los Angeles,Humanities,24717,kt-scrape-excel
2007,Los Angeles,Life Sciences,27379,kt-scrape-excel
2007,Los Angeles,Other,25299,kt-scrape-excel
2007,Los Angeles,Physical Sciences,20248,kt-scrape-excel
2007,Los Angeles,Social Sciences,28002,kt-scrape-excel
2007,Merced,Engineering & CS,27505,kt-scrape-excel
2007,Merced,Life Sciences,30647,kt-scrape-excel
2007,Merced,Physical Sciences,27444,kt-scrape-excel
2007,Merced,Social Sciences,35586,kt-scrape-excel
2007,Riverside,Engineering & CS,16817,kt-scrape-excel
2007,Riverside,Fine Arts,24563,kt-scrape-excel
2007,Riverside,Humanities,28787,kt-scrape-excel
2007,Riverside,Life Sciences,18535,kt-scrape-excel
2007,Riverside,Other,11959,kt-scrape-excel
2007,Riverside,Physical Sciences,26275,kt-scrape-excel
2007,Riverside,Social Sciences,17892,kt-scrape-excel
2007,San Diego,Engineering & CS,14989,kt-scrape-excel
2007,San Diego,Fine Arts,29492,kt-scrape-excel
2007,San Diego,Humanities,29794,kt-scrape-excel
2007,San Diego,Life Sciences,20886,kt-scrape-excel
2007,San Diego,Other,0,kt-scrape-excel
2007,San Diego,Physical Sciences,19405,kt-scrape-excel
2007,San Diego,Social Sciences,23473,kt-scrape-excel
2007,San Francisco,Health Sciences,35022,kt-scrape-excel
2007,San Francisco,Life Sciences,33286,kt-scrape-excel
2007,San Francisco,Other,47440,kt-scrape-excel
2007,Santa Barbara,Engineering & CS,11334,kt-scrape-excel
2007,Santa Barbara,Fine Arts,32917,kt-scrape-excel
2007,Santa Barbara,Humanities,17476,kt-scrape-excel
2007,Santa Barbara,Life Sciences,30681,kt-scrape-excel
2007,Santa Barbara,Other,21912,kt-scrape-excel
2007,Santa Barbara,Physical Sciences,17700,kt-scrape-excel
2007,Santa Barbara,Social Sciences,21191,kt-scrape-excel
2007,Santa Cruz,Engineering & CS,18371,kt-scrape-excel
2007,Santa Cruz,Fine Arts,35867,kt-scrape-excel
2007,Santa Cruz,Humanities,29160,kt-scrape-excel
2007,Santa Cruz,Life Sciences,31983,kt-scrape-excel
2007,Santa Cruz,Other,21273,kt-scrape-excel
2007,Santa Cruz,Physical Sciences,35422,kt-scrape-excel
2007,Santa Cruz,Social Sciences,25437,kt-scrape-excel
2008,Systemwide,Engineering & CS,15731,kt-scrape-excel
2008,Systemwide,Fine Arts,29613,kt-scrape-excel
2008,Systemwide,Health Sciences,21240,kt-scrape-excel
2008,Systemwide,Humanities,24841,kt-scrape-excel
2008,Systemwide,Life Sciences,24427,kt-scrape-excel
2008,Systemwide,Other,23043,kt-scrape-excel
2008,Systemwide,Physical Sciences,23340,kt-scrape-excel
2008,Systemwide,Professional,15976,kt-scrape-excel
2008,Systemwide,Social Sciences,24119,kt-scrape-excel
2008,Berkeley,Engineering & CS,20482,kt-scrape-excel
2008,Berkeley,Fine Arts,28081,kt-scrape-excel
2008,Berkeley,Health Sciences,26872,kt-scrape-excel
2008,Berkeley,Humanities,24794,kt-scrape-excel
2008,Berkeley,Life Sciences,32626,kt-scrape-excel
2008,Berkeley,Other,24853,kt-scrape-excel
2008,Berkeley,Physical Sciences,24278,kt-scrape-excel
2008,Berkeley,Social Sciences,31228,kt-scrape-excel
2008,Davis,Engineering & CS,20797,kt-scrape-excel
2008,Davis,Fine Arts,32221,kt-scrape-excel
2008,Davis,Health Sciences,9041,kt-scrape-excel
2008,Davis,Humanities,25808,kt-scrape-excel
2008,Davis,Life Sciences,26942,kt-scrape-excel
2008,Davis,Other,28336,kt-scrape-excel
2008,Davis,Physical Sciences,28559,kt-scrape-excel
2008,Davis,Professional,10927,kt-scrape-excel
2008,Davis,Social Sciences,20348,kt-scrape-excel
2008,Irvine,Engineering & CS,7902,kt-scrape-excel
2008,Irvine,Fine Arts,29366,kt-scrape-excel
2008,Irvine,Health Sciences,13415,kt-scrape-excel
2008,Irvine,Humanities,24721,kt-scrape-excel
2008,Irvine,Life Sciences,16049,kt-scrape-excel
2008,Irvine,Other,18357,kt-scrape-excel
2008,Irvine,Physical Sciences,8535,kt-scrape-excel
2008,Irvine,Social Sciences,18469,kt-scrape-excel
2008,Los Angeles,Engineering & CS,16196,kt-scrape-excel
2008,Los Angeles,Fine Arts,26972,kt-scrape-excel
2008,Los Angeles,Health Sciences,23024,kt-scrape-excel
2008,Los Angeles,Humanities,25288,kt-scrape-excel
2008,Los Angeles,Life Sciences,28548,kt-scrape-excel
2008,Los Angeles,Other,21238,kt-scrape-excel
2008,Los Angeles,Physical Sciences,22732,kt-scrape-excel
2008,Los Angeles,Social Sciences,27866,kt-scrape-excel
2008,Merced,Engineering & CS,37554,kt-scrape-excel
2008,Merced,Life Sciences,28966,kt-scrape-excel
2008,Merced,Physical Sciences,21865,kt-scrape-excel
2008,Merced,Social Sciences,26924,kt-scrape-excel
2008,Riverside,Engineering & CS,14224,kt-scrape-excel
2008,Riverside,Fine Arts,30232,kt-scrape-excel
2008,Riverside,Humanities,26294,kt-scrape-excel
