Year,Campus,Discipline,Net Stipend,Source
2007,Berkeley,Engineering & CS,16320,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Fine Arts,18560,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Health Sciences,18597,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Humanities,19160,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Life Sciences,22605,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Other,19914,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Physical Sciences,21526,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Professional,13308,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Social Sciences,18131,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Berkeley,Total,18641,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Engineering & CS,16320,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Fine Arts,18560,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Health Sciences,18597,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Humanities,19160,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Life Sciences,22605,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Other,19914,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Physical Sciences,21526,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Professional,13308,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Social Sciences,18131,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Davis,Total,18641,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Engineering & CS,11330,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Fine Arts,11466,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Health Sciences,23133,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Humanities,13993,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Life Sciences,22357,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Other,16759,"""Graduate Student Support"" Excel sheets (copy-paste)"
2007,Irvine,Physical Sciences,19916,"""Graduate Student Support"" Excel sheets (copy-paste)"
